"지역별(1)","산업별(10차)중분류별(1)",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"지역별(1)","산업별(10차)중분류별(1)",전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계
"부산","R.예술, 스포츠 및 여가관련 서비스업(90~91)",9482,8739,6902,5751,1151,1837,744,7645,7027,5942,4925,1018,1085,617,8992,7640,6234,5063,1170,1407,1352,11068,10164,7667,6330,1337,2497,904
"부산","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",*,17445,12759,10614,2145,4686,*,17850,17084,12725,10643,2082,4359,766,*,17867,13042,10993,2049,4825,*,*,19415,14139,12048,2091,5276,*
"대구","전산업",1319516,1038552,661197,465866,195331,377354,280965,1286724,1013656,642769,457016,185753,370887,273067,1469819,1144125,707087,506381,200706,437038,325694,1661888,1229915,749274,542358,206917,480640,431973
"대구","A.농업, 임업 및 어업(01~03)",*,421,421,383,38,-,*,*,423,*,380,*,*,*,*,511,*,410,*,*,*,671,671,671,537,134,-,-
"대구","B.광업(05~08)",*,*,40,40,-,*,-,609,609,*,40,*,*,-,749,749,*,30,*,*,-,*,*,27,27,-,*,-
"대구","C.제조업(10~34)",465551,307621,186380,102695,83685,121241,157930,416123,275446,164549,89987,74562,110897,140677,487268,312768,185059,102685,82374,127709,174500,572302,343078,197620,112698,84921,145458,229225
"대구","D.전기, 가스, 증기 및 공기 조절 공급업(35)",11672,911,911,503,408,-,10761,*,811,*,543,*,*,*,*,979,*,683,*,*,*,16595,1224,1224,893,331,-,15370
"대구","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",7613,7613,1975,934,1041,5638,-,*,6158,2042,915,1127,4116,*,*,8453,2112,1098,1014,6341,*,8853,8853,2176,1212,964,6677,-
"대구","F.건설업(41~42)",130154,109882,72578,45291,27287,37305,20272,131280,109276,73279,45988,27291,35996,22004,143352,119913,79008,50341,28667,40905,23439,164761,128302,85880,55065,30815,42423,36458
"대구","G.도매 및 소매업(45~47)",412346,368566,242085,195947,46139,126481,43780,414856,370596,244407,197971,46436,126190,44259,469229,419189,265303,216289,49014,153886,50040,505177,446721,273807,224859,48948,172914,58456
